step,retention_with_anchor,lo_with,hi_with,retention_without_anchor,lo_without,hi_without
0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.68,0.5780000000000001,0.785,0.68,0.5780000000000001,0.785
20,0.5670000000000001,0.45600000000000007,0.661,0.5650000000000001,0.45200000000000007,0.661
30,0.466,0.35900000000000004,0.562,0.466,0.35900000000000004,0.562
40,0.421,0.272,0.5589999999999999,0.42000000000000004,0.272,0.558
50,0.356,0.19152500000000003,0.499,0.35300000000000004,0.19152500000000003,0.49399999999999994
60,0.352,0.16,0.5,0.34600000000000003,0.15500000000000003,0.49300000000000005
70,0.34500000000000003,0.164,0.49700000000000005,0.34400000000000003,0.16300000000000003,0.495
80,0.358,0.18,0.483,0.352,0.176,0.476
90,0.34500000000000003,0.1749,0.47300000000000003,0.329,0.17055,0.45899999999999996
100,0.32300000000000006,0.14200000000000002,0.472,0.31500000000000006,0.133,0.462
